사투리,표준어
빼박이야.,빼박이야.
아이,아이
이랬다.,이랬다.
닮다하는거지.,닮다하는거지.
으이그,으이그
이상해.,이상해.
이.,이.
아니?,아니?
아니.,아니.
뭐인?,뭐 있어?
말이.,말이.
해주네.,해주잖아.
못생겨서?,못생겨서?
해주네.,해주잖아.
정도면,정도면
긴가.,그런가.
응.,응.
해줘?,해줘?
안해줘.,안해줘.
안해줘.,안해줘.
왜?,왜?
몰라.,몰라.
사견?,사겼어?
이.,이.
안해줜.,안해줬어.
있지.,있지.
걍.,걍.
왜?,왜?
이유,이유
안해.,안해.
거다.,거다.
알지.,알지.
어떡해.,어떡해.
이.,이.
이.,이.
필요이신가?,필요이신가?
내네,나잖아.
이.,이.
이상해.,이상해.
진심.,진심.
{laughing},{laughing}
애?,애?
말했지.,말했지.
-산-,-산-
넣어놓고,넣어놓고
거.,거.
이상해.,이상해.
결제해줘?,결제해줘?
그거를?,그거를?
이상하다고.,이상하다고.
아이라이.,아이라이.
얘기하니깐,얘기하니깐
거.,거.
개치네.,개치네.
{laughing},{laughing}
개오바.,개오바.
아니?,아니?
줬댄?,줬대?
안줬댄.,안줬대.
있는거지.,있는거지.
가이도.,그 아이도.
대단.,대단.
어신디.,없는데.
그니깐,그니깐
닮은디.,닮은데.
아팠네.,아팠네.
응.,응.
바꿘.,바꿨어.
그래서.,그래서.
바꿘?,바꿨어?
바꿔봐신디,바꿔보았는데
응.,응.
찍언.,찍었어.
나왔게?,나왔게?
원.,원.
삼십.,삼십.
진짜로.,진짜로.
십칠,십칠
했지.,했지.
응.,응.
십오?,십오?
십이,십이
원.,원.
원?,원?
대박.,대박.
정도?,정도?
원.,원.
엑스레이만.,엑스레이만.
원?,원?
어.,어.
개싸.,개싸.
간.,갔어.
줜.,줬어.
대박인데.,대박인데.
핸?,했어?
날개뼈,날개뼈
어.,어.
새벽에,새벽에
소화불량?,소화불량?
응.,응.
어.,어.
강아지보다,강아지보다
위가,위가
못한댄.,못한대.
그래신가?,그랬던건가?
인.,있어.
똑같애?,똑같애?
{laughing},{laughing}
아님?,아님?
봤었네?,봤었네?
컸거든.,컸거든.
핸.,했어.
진짜?,진짜?
쪼크맣댄.,조그맣대.
딱.,딱.
진짜?,진짜?
안돼.,안돼.
거에요.,거에요.
때문인가?,때문인가?
아님?,아님?
긴가?,그런가?
아니?,아니?
그런가?,그런가?
먹었었네.,먹었었네.
닮.,닮아.
아,아
잘먹어.,잘먹어.
맛있어서,맛있어서
늘어나는거지.,늘어나는거지.
아,아
{laughing},{laughing}
(()),(())
인?,있어?
거네.,거네.
말고,말고
&company-name4&,&company-name4&
없네.,없네.
{laughing},{laughing}
얼마에,얼마에
싸이코.,싸이코.
인.,있어.
빼야돼.,빼야돼.
빼냐.,빼냐.
{laughing},{laughing}
가자.,가자.
싸패네.,싸패네.
싸구려를,싸구려를
어.,어.
안돼.,안돼.
먹지.,먹지.
개이득.,개이득.
번?,번?
어.,어.
먹지?,먹지?
부른다.,부른다.
모르클.,모르겠어.
받안.,받았어.
그래.,그래.
{laughing},{laughing}
줘.,줘.
누구한테.,누구한테.
나한테.,나한테.
까먹언.,까먹언.
돈,돈
원?,원?
까먹었다고.,까먹었다고.
받으면?,받으면?
이신가?,있을까?
딱히.,딱히.
배불러가지고이.,배불러가지고이.
맞아.,맞아.
생각이언.,생각이언.
애매해.,애매해.
&company-name5&은,&company-name5&은
