사투리,표준어
빼박이야.,빼박이야.
의심의심,의심의심
의심,의심
키우는,키우는
아이,아이
인터넷에,인터넷에
찾아보거나,찾아보거나
했는데,했는데
이랬다.,이랬다.
아~,아~
뭔가,뭔가
해봐야,해봐야
될,될
것,것
닮다하는거지.,닮다하는거지.
남친,남친
없잖아,없잖아
으이그,으이그
그니까,그니까
그게,그게
더,더
이상해.,이상해.
진짜,진짜
이.,이.
너네,너네
몰래,몰래
사귀는,사귀는
거,거
아니?,아니?
아니.,아니.
굳이,굳이
몰래,몰래
사귈,사귈
이유가,이유가
내,내
말이.,말이.
말,말
안,안
못생겨서?,못생겨서?
아니,아니
아니,아니
아니,아니
그~,그~
우리,우리
친구들,친구들
말,말
안,안
아,아
근데,근데
얘네,얘네
정도면,정도면
응.,응.
왜,왜
말,말
안,안
해줘?,해줘?
우리라면,우리라면
말,말
안해줘.,안해줘.
응,응
말,말
안해줘.,안해줘.
왜?,왜?
몰라.,몰라.
언제,언제
예전에,예전에
사겼는데,사겼는데
이.,이.
걸릴,걸릴
때까지,때까지
말,말
응,응
지금도,지금도
사귈,사귈
수도,수도
있지.,있지.
말,말
아예,아예
안해,안해
걍.,걍.
왜?,왜?
다른,다른
친구는,친구는
알고,알고
있고,있고
이런,이런
이유,이유
우리한테는,우리한테는
말,말
안해.,안해.
뭔가,뭔가
우리가,우리가
그렇게,그렇게
좀,좀
안,안
좋게,좋게
평가할까봐,평가할까봐
말,말
안하는,안하는
거다.,거다.
뭔지,뭔지
알지.,알지.
뭔지,뭔지
알지.,알지.
안좋게,안좋게
보일,보일
수,수
밖에,밖에
없는,없는
걸,걸
어떡해.,어떡해.
당연한거,당연한거
아니?,아니?
친구,친구
남자친구데,남자친구데
이.,이.
와,와
근데,근데
숨긴다고?,숨긴다고?
신기하다,신기하다
이.,이.
내,내
말이.,말이.
굳이,굳이
숨길,숨길
필요이신가?,필요이신가?
그니깐.,그니깐.
그냥,그냥
말해도,말해도
무슨,무슨
앞에서,앞에서
티,티
안,안
걍,걍
우리한테,우리한테
단점,단점
안말하면은,안말하면은
굳이,굳이
씹을,씹을
일도,일도
없고,없고
이.,이.
아,아
그니깐.,그니깐.
아,아
진짜,진짜
이상해.,이상해.
진심.,진심.
그~,그~
나,나
아는,아는
언니,언니
그,그
언니는,언니는
단점,단점
말,말
해놓고,해놓고
내가,내가
욕하면,욕하면
쉴드친다니까?,쉴드친다니까?
{laughing},{laughing}
그,그
너네랑,너네랑
같이,같이
&company-name1&,&company-name1&
다녔던,다녔던
애?,애?
어,어
그,그
&company-name2&,&company-name2&
사건,사건
말했지.,말했지.
@company-name2&?,@company-name2&?
아~,아~
남자,남자
친구가,친구가
자기거,자기거
-삼-,-삼-
-산-,-산-
{laughing},{laughing}
다,다
넣어놓고,넣어놓고
결제,결제
해달라고,해달라고
하는,하는
거.,거.
걔,걔
이상해.,이상해.
그래서,그래서
(()),(())
엥?,엥?
그거를,그거를
왜,왜
결제해줘?,결제해줘?
지,지
카드도,카드도
안갖고,안갖고
왔는데,왔는데
-결-,-결-
그~,그~
샀다고?,샀다고?
그거를?,그거를?
그게,그게
더,더
이상하다고.,이상하다고.
진짜,진짜
이상한,이상한
아이라이.,아이라이.
어,어
그래가지고,그래가지고
그렇게,그렇게
얘기하니깐,얘기하니깐
아,아
근데이?뭐,근데이?뭐
{laughing},{laughing}
원래부터,원래부터
그렇게,그렇게
하려고,하려고
한,한
건,건
아니었던,아니었던
거닮,거닮
이렇게,이렇게
하는,하는
거.,거.
쉴드,쉴드
개치네.,개치네.
어.,어.
뭐라는거야?,뭐라는거야?
{laughing},{laughing}
개오바.,개오바.
그래서,그래서
나중에,나중에
빡쳐가지고,빡쳐가지고
물어봔.,물어봔.
그래도,그래도
결국,결국
산건,산건
언니,언니
아니?,아니?
어~,어~
어~,어~
미친거,미친거
아니?,아니?
아직도,아직도
지금도,지금도
만나고,만나고
있는거지.,있는거지.
대박이다,대박이다
대단,대단
대단.,대단.
아~,아~
진짜,진짜
그런,그런
거,거
아니면,아니면
굳이,굳이
욕할,욕할
일도,일도
그니깐,그니깐
&name1&,&name1&
&name1&,&name1&
비밀로,비밀로
할,할
이유가,이유가
없는,없는
것,것
근데,근데
이번에,이번에
마루,마루
아팠네.,아팠네.
응.,응.
마루,마루
아팠는데,아팠는데
병원,병원
너무,너무
비싼,비싼
것,것
같고,같고
그래서.,그래서.
어디로,어디로
꿈,꿈
꿈,꿈
거기,거기
유명하다고,유명하다고
해서,해서
거기로,거기로
응.,응.
거기로,거기로
그~,그~
마루,마루
이번에,이번에
토,토
해가지고,해가지고
그~,그~
의사가,의사가
주사,주사
세,세
대랑,대랑
엑스레이,엑스레이
얼마,얼마
나왔게?,나왔게?
사십오만,사십오만
원.,원.
한,한
삼십.,삼십.
아니,아니
진짜로.,진짜로.
한,한
십칠,십칠
싼,싼
데라고,데라고
했지.,했지.
응.,응.
십오?,십오?
에,에
그럼,그럼
좀,좀
더,더
싸지,싸지
않을까?,않을까?
한,한
십삼?,십삼?
십이,십이
십이,십이
사만,사만
오천,오천
원.,원.
사만,사만
오천,오천
원?,원?
왜,왜
이렇게,이렇게
싸?,싸?
대박.,대박.
한,한
대당,대당
만,만
오천,오천
원,원
정도?,정도?
오~,오~
그런데,그런데
원래,원래
엑스레이,엑스레이
비용은,비용은
&company-name3&은,&company-name3&은
오만,오만
원.,원.
엑스레이만.,엑스레이만.
근데,근데
주사까지,주사까지
해서,해서
사만,사만
오천,오천
원?,원?
어.,어.
개싸.,개싸.
맞지.,맞지.
그래가지고,그래가지고
오늘,오늘
마루가,마루가
또,또
오늘,오늘
본,본
건,건
공짜로,공짜로
해,해
대박인데.,대박인데.
그런데,그런데
마루,마루
왜,왜
토,토
그,그
날개,날개
줬거든.,줬거든.
오리,오리
날개뼈,날개뼈
어.,어.
근데,근데
그거,그거
소화,소화
안된거,안된거
같다고,같다고
그것때문에,그것때문에
계속,계속
토하는,토하는
거,거
새벽에,새벽에
아~,아~
그럼,그럼
그냥,그냥
소화불량?,소화불량?
응.,응.
어.,어.
근데,근데
마루가,마루가
원래,원래
위가,위가
다른,다른
강아지보다,강아지보다
한,한
이~,이~
뽀송이정도,뽀송이정도
위가,위가
그래서,그래서
소화를,소화를
잘,잘
아,아
진짜?,진짜?
그래가지고,그래가지고
그때,그때
그~,그~
밥,밥
잘,잘
못,못
먹는다고,먹는다고
했던게,했던게
그~,그~
배불러서,배불러서
아니면,아니면
다이어트,다이어트
해서,해서
위,위
작아진,작아진
것일수도,것일수도
아~,아~
그런,그런
거,거
사람들이랑,사람들이랑
똑같애?,똑같애?
아니,아니
근데,근데
그렇게,그렇게
다이어트를,다이어트를
심하게,심하게
시키지는,시키지는
{laughing},{laughing}
아니,아니
근데,근데
이제,이제
세,세
끼,끼
두,두
끼,끼
작아진,작아진
거,거
아님?,아님?
아,아
그럴수도,그럴수도
근데,근데
호두를,호두를
엑스레이를,엑스레이를
난,난
봤었네?,봤었네?
마루꺼는,마루꺼는
못보긴,못보긴
호두는,호두는
위가,위가
컸거든.,컸거든.
응.,응.
한,한
이만큼은,이만큼은
아,아
진짜?,진짜?
근데,근데
마루는,마루는
엄청,엄청
이,이
동그라미만,동그라미만
해.,해.
지금,지금
이거,이거
딱.,딱.
아,아
진짜?,진짜?
그래서,그래서
많이,많이
먹으면,먹으면
안돼.,안돼.
그~,그~
의사,의사
선생님이,선생님이
얘는,얘는
위가,위가
좀,좀
작아요,작아요
엄청,엄청
작아,작아
가지고,가지고
소화를,소화를
잘,잘
못,못
할,할
거에요.,거에요.
이렇게,이렇게
하는데,하는데
그래서,그래서
켁켁거리는,켁켁거리는
것도,것도
그것,그것
때문인가?,때문인가?
어~,어~
아니면은,아니면은
그래서,그래서
산책,산책
좋아하는거,좋아하는거
아님?,아님?
